WTMP,DateTimeStamp,site
13.9609,11/27/2018 20:09,to3
14.0287,11/27/2018 20:39,to3
14.0505,11/27/2018 21:09,to3
14.2494,11/27/2018 21:39,to3
14.3841,11/27/2018 22:09,to3
14.4509,11/27/2018 22:39,to3
14.485,11/27/2018 23:09,to3
14.1404,11/27/2018 23:39,to3
14.1064,11/28/2018 0:09,to3
14.1222,11/28/2018 0:39,to3
14.182,11/28/2018 1:09,to3
14.2361,11/28/2018 1:39,to3
14.1365,11/28/2018 2:09,to3
14.0725,11/28/2018 2:39,to3
14.0605,11/28/2018 3:09,to3
14.0401,11/28/2018 3:39,to3
14.0306,11/28/2018 4:09,to3
14.0131,11/28/2018 4:39,to3
13.9487,11/28/2018 5:09,to3
13.8523,11/28/2018 5:39,to3
13.7199,11/28/2018 6:09,to3
13.8977,11/28/2018 6:39,to3
14.043,11/28/2018 7:09,to3
13.85,11/28/2018 7:39,to3
13.7804,11/28/2018 8:09,to3
13.9559,11/28/2018 8:39,to3
13.8292,11/28/2018 9:09,to3
13.8224,11/28/2018 9:39,to3
14.0754,11/28/2018 10:09,to3
14.0486,11/28/2018 10:39,to3
14.0271,11/28/2018 11:09,to3
13.9853,11/28/2018 11:39,to3
14.0236,11/28/2018 12:09,to3
14.0067,11/28/2018 12:39,to3
13.9893,11/28/2018 13:09,to3
13.9371,11/28/2018 13:39,to3
13.9635,11/28/2018 14:09,to3
13.8194,11/28/2018 14:39,to3
13.9149,11/28/2018 15:09,to3
13.8731,11/28/2018 15:39,to3
13.8379,11/28/2018 16:09,to3
13.8161,11/28/2018 16:39,to3
13.773,11/28/2018 17:09,to3
13.7827,11/28/2018 17:39,to3
13.7657,11/28/2018 18:09,to3
13.7428,11/28/2018 18:39,to3
13.779,11/28/2018 19:09,to3
13.8565,11/28/2018 19:39,to3
14.0368,11/28/2018 20:09,to3
14.2337,11/28/2018 20:39,to3
14.2394,11/28/2018 21:09,to3
14.2128,11/28/2018 21:39,to3
14.1785,11/28/2018 22:09,to3
14.1838,11/28/2018 22:39,to3
14.1064,11/28/2018 23:09,to3
14.1429,11/28/2018 23:39,to3
14.1894,11/29/2018 0:09,to3
14.2179,11/29/2018 0:39,to3
14.1637,11/29/2018 1:09,to3
14.1261,11/29/2018 1:39,to3
14.091,11/29/2018 2:09,to3
14.0964,11/29/2018 2:39,to3
14.0935,11/29/2018 3:09,to3
14.0851,11/29/2018 3:39,to3
14.0796,11/29/2018 4:09,to3
14.075,11/29/2018 4:39,to3
14.0761,11/29/2018 5:09,to3
